index,course_id,full_course_id,days_of_wk_cd,meet_strt_tm,meet_stop_tm,meet_bldg_cd,meet_room_cd,instructors,requisites_logic
15028,MUSC C171,Music C171,R,06:00 pm,08:50 pm,OSTIN,00110A,"Faliks, I.; Xing, B.E.","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Music 60S', 'Music 60T', 'Music 160S', 'Music 160T', 'Music 160U']}]}, 'corequisites': None}"
15029,MUSC C175A,Music C175A,M,07:00 pm,09:50 pm,SMB,01345,"Washburn, D.W.; Breen, E.C.",
15030,MUSC C175A,Music C175A,M,07:00 pm,09:50 pm,SMB,01354,"Washburn, D.W.; Breen, E.C.",
15031,MUSC C175B,Music C175B,R,06:00 pm,07:50 pm,SMB,B00648,"Gogoncea, M.",
15032,MUSC C175C,Music C175C,VAR,12:00 am,12:00 am,,,"Faliks, I.",
15033,MUSC C175D,Music C175D,VAR,12:00 am,12:00 am,,,"Dimond, T.A.",
15034,MUSC C175E,Music C175E,T,08:00 pm,09:50 pm,OSTIN,00110A,"Chen, C.B.; Manouelian, V.H.; An, J.; Ho, J.M.",
15035,MUSC C175F,Music C175F,T,06:00 pm,07:50 pm,SMB,B00686,"Berry Baker, J.N.; Steinmetz, J.A.; Davis, J.D.; Phaneuf, O.C.",
15036,MUSC C175F,Music C175F,T,06:00 pm,07:50 pm,SMB,01344,"Berry Baker, J.N.; Steinmetz, J.A.; Davis, J.D.; Phaneuf, O.C.",
15037,MUSC C175F,Music C175F,T,06:00 pm,07:50 pm,SMB,01420,"Berry Baker, J.N.; Steinmetz, J.A.; Davis, J.D.; Phaneuf, O.C.",
15038,MUSC C175F,Music C175F,T,06:00 pm,07:50 pm,SMB,01439,"Berry Baker, J.N.; Steinmetz, J.A.; Davis, J.D.; Phaneuf, O.C.",
15039,MUSC C175F,Music C175F,T,06:00 pm,06:50 pm,SMB,01325,"Berry Baker, J.N.; Steinmetz, J.A.; Davis, J.D.; Phaneuf, O.C.",
15040,MUSC C175F,Music C175F,T,06:00 pm,07:50 pm,SMB,B00425,"Berry Baker, J.N.; Steinmetz, J.A.; Davis, J.D.; Phaneuf, O.C.",
15041,MUSC C175F,Music C175F,T,06:00 pm,07:50 pm,SMB,B00648,"Berry Baker, J.N.; Steinmetz, J.A.; Davis, J.D.; Phaneuf, O.C.",
15042,MUSC C175G,Music C175G,F,11:00 am,02:50 pm,SMB,01343,"Cheng, G.C.",
15043,MUSC C185A,Music C185A,MW,05:00 pm,06:50 pm,SMB,01325,"Brown, R.R.; Araujo, Y.A.; Cornwell, K.W.; Scott, J.C.",
15044,MUSC C185A,Music C185A,MW,05:00 pm,05:50 pm,SMB,01344,"Brown, R.R.; Araujo, Y.A.; Cornwell, K.W.; Scott, J.C.",
15045,MUSC C185B,Music C185B,MW,03:00 pm,04:50 pm,SMB,01325,"Bass, J.; Araujo, Y.A.; Cornwell, K.W.; Scott, J.C.",
15046,MUSC C185B,Music C185B,MW,03:00 pm,04:50 pm,SMB,B00686,"Bass, J.; Araujo, Y.A.; Cornwell, K.W.; Scott, J.C.",
15047,MUSC C185C,Music C185C,TR,03:00 pm,05:50 pm,OSTIN,00110A,"Darrah, J.E.; Hak, R.R.; Subramaniam, L.M.",
15048,MUSC C185C,Music C185C,TR,03:00 pm,05:50 pm,SMB,B00425,"Darrah, J.E.; Hak, R.R.; Subramaniam, L.M.",
15049,MUSC C185C,Music C185C,TR,03:00 pm,05:50 pm,SMB,01354,"Darrah, J.E.; Hak, R.R.; Subramaniam, L.M.",
15050,MUSC C185D,Music C185D,W,07:00 pm,09:50 pm,SMB,01345,"Stulberg, N.H.; Chung, S.; Xiong, G.",
15051,MUSC C185E,Music C185E,TR,03:00 pm,05:50 pm,SMB,01345,"Stulberg, N.H.; Chung, S.; Peacock, F.R.; Xiong, G.",
15052,MUSC 185F,Music 185F,T,03:00 pm,04:50 pm,SMB,01343,"Milburn, D.S.; Adam, S.B.; Reyes-Velarde, D.; Stires, B.M.",
15053,MUSC 185F,Music 185F,T,03:00 pm,04:50 pm,SMB,01100,"Milburn, D.S.; Adam, S.B.; Reyes-Velarde, D.; Stires, B.M.",
15054,MUSC C185G,Music C185G,MW,03:00 pm,05:50 pm,SMB,01100,"Cross, T.J.; Adam, S.B.; Reyes-Velarde, D.; Stires, B.M.",
15055,MUSC C185G,Music C185G,M,03:00 pm,05:50 pm,SMB,01420,"Cross, T.J.; Adam, S.B.; Reyes-Velarde, D.; Stires, B.M.",
15056,MUSC C185G,Music C185G,W,03:00 pm,04:50 pm,SMB,01354,"Cross, T.J.; Adam, S.B.; Reyes-Velarde, D.; Stires, B.M.",
15057,MUSC C185G,Music C185G,MW,03:00 pm,05:50 pm,SMB,01345,"Cross, T.J.; Adam, S.B.; Reyes-Velarde, D.; Stires, B.M.",
15058,MUSC 185H,Music 185H,T,05:00 pm,06:50 pm,SMB,01343,"Fisher, K.G.; Jurado, V.C.; Bottenberg, M.; Gutierrez, S.T.; James, M.T.",
15059,MUSC 185H,Music 185H,R,04:00 pm,05:50 pm,,,"Fisher, K.G.; Jurado, V.C.; Bottenberg, M.; Gutierrez, S.T.; James, M.T.",
15060,MUSC 185H,Music 185H,F,03:00 pm,04:50 pm,SMB,01343,"Fisher, K.G.; Jurado, V.C.; Bottenberg, M.; Gutierrez, S.T.; James, M.T.",
15061,MUSC C186A,Music C186A,T,05:30 pm,07:30 pm,SMB,B00431,"Lent, J.D.",
15062,MUSC C186A,Music C186A,T,05:00 pm,06:50 pm,SMB,B00841,"Lent, J.D.",
15063,MUSC C188,Music C188,M,10:00 am,12:50 pm,OSTIN,00110A,"Brown, R.R.",
15064,MUSC C188,Music C188,R,03:00 pm,05:50 pm,SMB,B00648,"Paranj, S.",
15065,MUSC 197,Music 197,VAR,12:00 am,12:00 am,,,"Krouse, I.",
15066,MUSC 197,Music 197,VAR,12:00 am,12:00 am,,,"Darrah, J.E.",
