course_id,full_course_id
CHEM 14AE,Chemistry and Biochemistry 14AE
CHEM 14B,Chemistry and Biochemistry 14B
CHEM 14BL,Chemistry and Biochemistry 14BL
CHEM 14C,Chemistry and Biochemistry 14C
CHEM 14CL,Chemistry and Biochemistry 14CL
CHEM 14D,Chemistry and Biochemistry 14D
CHEM 20A,Chemistry and Biochemistry 20A
CHEM 20B,Chemistry and Biochemistry 20B
CHEM 20BH,Chemistry and Biochemistry 20BH
CHEM 20L,Chemistry and Biochemistry 20L
CHEM 30AL,Chemistry and Biochemistry 30AL
CHEM 30B,Chemistry and Biochemistry 30B
CHEM 30BL,Chemistry and Biochemistry 30BL
CHEM 30C,Chemistry and Biochemistry 30C
CHEM 30CL,Chemistry and Biochemistry 30CL
CHEM 98XA,Chemistry and Biochemistry 98XA
CHEM 98XB,Chemistry and Biochemistry 98XB
CHEM 99,Chemistry and Biochemistry 99
CHEM C105,Chemistry and Biochemistry C105
CHEM 110A,Chemistry and Biochemistry 110A
CHEM 110B,Chemistry and Biochemistry 110B
CHEM 114,Chemistry and Biochemistry 114
CHEM C115B,Chemistry and Biochemistry C115B
CHEM C123B,Chemistry and Biochemistry C123B
CHEM 136,Chemistry and Biochemistry 136
CHEM C143A,Chemistry and Biochemistry C143A
CHEM C145,Chemistry and Biochemistry C145
CHEM 147,Chemistry and Biochemistry 147
CHEM C150,Chemistry and Biochemistry C150
CHEM 153A,Chemistry and Biochemistry 153A
CHEM 153B,Chemistry and Biochemistry 153B
CHEM 153C,Chemistry and Biochemistry 153C
CHEM 153L,Chemistry and Biochemistry 153L
CHEM 154,Chemistry and Biochemistry 154
CHEM C155,Chemistry and Biochemistry C155
CHEM 156,Chemistry and Biochemistry 156
CHEM C176,Chemistry and Biochemistry C176
CHEM C179,Chemistry and Biochemistry C179
CHEM 184,Chemistry and Biochemistry 184
CHEM 192A,Chemistry and Biochemistry 192A
CHEM 192C,Chemistry and Biochemistry 192C
CHEM 192D,Chemistry and Biochemistry 192D
CHEM M192E,Chemistry and Biochemistry M192E
CHEM 192F,Chemistry and Biochemistry 192F
CHEM 194,Chemistry and Biochemistry 194
CHEM 196A,Chemistry and Biochemistry 196A
CHEM 196B,Chemistry and Biochemistry 196B
CHEM 199,Chemistry and Biochemistry 199
CHEM CM205A,Chemistry and Biochemistry CM205A
CHEM 206,Chemistry and Biochemistry 206
CHEM C215B,Chemistry and Biochemistry C215B
CHEM 218,Chemistry and Biochemistry 218
CHEM 219A,Chemistry and Biochemistry 219A
CHEM 219B,Chemistry and Biochemistry 219B
CHEM 219I,Chemistry and Biochemistry 219I
CHEM 219J,Chemistry and Biochemistry 219J
CHEM 219K,Chemistry and Biochemistry 219K
CHEM 219L,Chemistry and Biochemistry 219L
CHEM 219Q,Chemistry and Biochemistry 219Q
CHEM 219R,Chemistry and Biochemistry 219R
CHEM 219S,Chemistry and Biochemistry 219S
CHEM 219T,Chemistry and Biochemistry 219T
CHEM 219V,Chemistry and Biochemistry 219V
CHEM 219W,Chemistry and Biochemistry 219W
CHEM 219X,Chemistry and Biochemistry 219X
CHEM 219Y,Chemistry and Biochemistry 219Y
CHEM 219Z,Chemistry and Biochemistry 219Z
CHEM C223B,Chemistry and Biochemistry C223B
CHEM 228,Chemistry and Biochemistry 228
CHEM 230A,Chemistry and Biochemistry 230A
CHEM M230D,Chemistry and Biochemistry M230D
CHEM 232B,Chemistry and Biochemistry 232B
CHEM 232D,Chemistry and Biochemistry 232D
CHEM 235E,Chemistry and Biochemistry 235E
CHEM 235F,Chemistry and Biochemistry 235F
CHEM 235G,Chemistry and Biochemistry 235G
CHEM 235I,Chemistry and Biochemistry 235I
CHEM 235K,Chemistry and Biochemistry 235K
CHEM 235N,Chemistry and Biochemistry 235N
CHEM 235O,Chemistry and Biochemistry 235O
CHEM 235P,Chemistry and Biochemistry 235P
CHEM 235Q,Chemistry and Biochemistry 235Q
CHEM 235R,Chemistry and Biochemistry 235R
CHEM 235S,Chemistry and Biochemistry 235S
CHEM C243A,Chemistry and Biochemistry C243A
CHEM 244B,Chemistry and Biochemistry 244B
CHEM C245,Chemistry and Biochemistry C245
CHEM 247,Chemistry and Biochemistry 247
CHEM 248,Chemistry and Biochemistry 248
CHEM 249A,Chemistry and Biochemistry 249A
CHEM 249B,Chemistry and Biochemistry 249B
CHEM 249C,Chemistry and Biochemistry 249C
CHEM C250,Chemistry and Biochemistry C250
CHEM CM255,Chemistry and Biochemistry CM255
CHEM 256B,Chemistry and Biochemistry 256B
CHEM 256D,Chemistry and Biochemistry 256D
CHEM 256F,Chemistry and Biochemistry 256F
CHEM 256G,Chemistry and Biochemistry 256G
CHEM 256J,Chemistry and Biochemistry 256J
CHEM 256K,Chemistry and Biochemistry 256K
CHEM 256L,Chemistry and Biochemistry 256L
CHEM 256M,Chemistry and Biochemistry 256M
CHEM 256N,Chemistry and Biochemistry 256N
CHEM 256O,Chemistry and Biochemistry 256O
CHEM 256P,Chemistry and Biochemistry 256P
CHEM 256Q,Chemistry and Biochemistry 256Q
CHEM 256R,Chemistry and Biochemistry 256R
CHEM 256T,Chemistry and Biochemistry 256T
CHEM 256U,Chemistry and Biochemistry 256U
CHEM 256V,Chemistry and Biochemistry 256V
CHEM 256W,Chemistry and Biochemistry 256W
