course_id,full_course_id,requisites,days_of_wk_cd,meet_strt_tm,meet_stop_tm,meet_bldg_cd,meet_room_cd,instructors
BIOENGR 121,Bioengineering 121,"{'type': 'AND', 'conditions': ['Electrical  Computer Engineering 100', {'type': 'OR', 'conditions': ['Computer Science 31', 'Mechanical  Aerospace Engineering M20']}, 'Civil  Environmental Engineering M20']}",MW,12:00 pm,01:50 pm,ENGR VI,00134,"Schmidt, J.J."
BIOENGR 122,Bioengineering 122,"{'type': 'AND', 'conditions': ['Mathematics 33A', 'Physics 1C']}",MW,10:00 am,11:50 am,ENGR VI,00134,"Gao, L."
BIOENGR CM140,Bioengineering CM140,"{'type': 'AND', 'conditions': ['Mechanical  Aerospace Engineering 101', 'Mechanical  Aerospace Engineering 102', {'type': 'OR', 'conditions': ['Mechanical  Aerospace Engineering 156A']}, 'Mechanical  Aerospace Engineering 166A']}",MW,10:00 am,11:50 am,BOELTER,08500,"Gupta, V."
BIOENGR M153,Bioengineering M153,"{'type': 'AND', 'conditions': ['Chemistry  Biochemistry 20A', 'Physics 1A', 'Physics 1B', 'Physics 1C', 'Physics 4AL']}",MW,12:30 pm,01:45 pm,ONLINE,00000LA,"Chen, Y."
BIOENGR C155,Bioengineering C155,"{'type': 'AND', 'conditions': ['Bioengineering 110']}",MW,04:00 pm,05:50 pm,BOELTER,04404,"Di Carlo, D."
BIOENGR 167L,Bioengineering 167L,"{'type': 'AND', 'conditions': ['Chemistry  Biochemistry 20L']}",F,02:00 pm,03:50 pm,PUB AFF,02270,"Chen, J."
BIOENGR 177B,Bioengineering 177B,"{'type': 'AND', 'conditions': ['Bioengineering 177A']}",TR,04:00 pm,05:50 pm,KAPLAN,00169,"Kamariza, M."
BIOENGR 180,Bioengineering 180,"{'type': 'AND', 'conditions': ['Bioengineering 100', 'Bioengineering 110', 'Life Sciences 7A', 'Physics 1C']}",TR,12:00 pm,01:50 pm,BOELTER,05249,"Linsley, C."
BIOENGR C185,Bioengineering C185,"{'type': 'AND', 'conditions': ['Bioengineering CM102', 'Chemistry  Biochemistry 20A', 'Chemistry  Biochemistry 20B', 'Chemistry  Biochemistry 20L']}",TR,02:00 pm,03:50 pm,BOELTER,02444,"Li, S."
BIOENGR C201,Bioengineering C201,"{'type': 'AND', 'conditions': ['Mathematics 33B', 'Physics 1B']}",MW,02:00 pm,03:50 pm,ENGR VI,00134,"Kamei, D.T."
BIOENGR C207,Bioengineering C207,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Bioengineering C204', 'Bioengineering C205']}]}",MW,08:00 am,09:50 am,ROYCE,00190,"Deming, T.J."
